Model,World,ARI_mean,ARI_std,ppCLV_mean,ppCLV_std,WhaleF1_mean,WhaleF1_std,Lift_mean,Lift_std,LeadTime_mean,LeadTime_std,TimingAcc_mean,TimingAcc_std
BEMMAOR-indiv-rfree,structural,0.4554419479197862,0.017493932341563583,8094.185862656343,2575.204686858575,0.89,0.0994428926011753,176.05813317745168,38.547518846988794,11.367662965016233,0.5482340931943291,0.3629222982502086,0.01422860065584222
BEMMAOR-indiv-rfree,independent,0.5912951119068675,0.017637408887834737,9508.778321464966,2223.5460576061487,0.8000000000000002,0.04714045207910319,165.48795344362856,29.38254969796392,13.303134307912416,0.9217413128851956,0.5130948657358517,0.023389069568520496
BEMMAOR-indiv-rfree,correlated,0.35876201258583795,0.010933556786449005,10064.461441800677,2115.5589647600923,0.9000000000000001,0.06666666666666661,148.80238754869927,39.184331230853694,8.478783172625576,0.3303138879400297,0.2538501886520823,0.012647813763750904
BEMMAOR-indiv-rfree,mixed,0.40954240881124554,0.012710713348448815,7899.945866993467,2005.91599135892,0.8800000000000001,0.07888106377466148,202.97154501389014,53.2050097097352,11.24336875224446,0.5291952730142709,0.38001401376397365,0.02323321985091954
Heckman-indiv-rfree,structural,0.3734731619345404,0.014570914328385486,3925.2270917631445,658.0283480863842,0.2,0.12472191289246472,3.008036573504374,1.6434034431546933,10.312471720484464,0.831025987923515,0.31584596271789095,0.013014746261234821
Heckman-indiv-rfree,independent,0.5872032123244588,0.015093943486489462,4600.257371609786,431.0666973756001,0.16000000000000003,0.12649110640673517,5.818450581449942,1.705409136755944,13.064877708817855,0.6394545746662968,0.5040090586179958,0.022906531593696444
Heckman-indiv-rfree,correlated,0.2909419418919931,0.012158835714197623,4069.692664950442,610.7347620967867,0.08,0.06324555320336758,2.1030416453836644,1.3580395783264945,9.070093397296699,0.5156147518034059,0.23176753754759036,0.008751233735937882
Heckman-indiv-rfree,mixed,0.3586933981781608,0.008578649911894913,4277.885374442017,560.5111476301121,0.14,0.0966091783079296,3.4309173832466398,1.726346992890526,11.63205876824005,0.46415293929050666,0.36992051985675223,0.026872813516263548
Heckman-global-rfree,structural,0.3603924626116569,0.018488017183805095,8933.115289791765,1532.707643509614,0.09,0.08755950357709132,3.9319475905799264,1.6975057880449231,12.905715482017822,0.7732901306480544,0.32332659381029183,0.01400953027174224
Heckman-global-rfree,independent,0.582989560661824,0.01567637359434457,3870.218217714035,427.8511504278767,0.1,0.06666666666666668,5.175476532318106,1.5502292632798147,13.149043613263894,0.7098772280519066,0.5131550279095813,0.02337874012199545
Heckman-global-rfree,correlated,0.26321375838521877,0.014581869009542036,6702.638401879267,1170.192301243766,0.07,0.0674948557710553,2.1499163697119363,1.2489916231091798,10.667976415882041,0.8889041499666144,0.22460750202511864,0.01636410426305756
Heckman-global-rfree,mixed,0.3404298543410856,0.009118795833095071,5390.497855275947,633.6893887033607,0.08,0.07888106377466154,3.875516960757267,1.9219085843769348,12.164121171978014,0.5076180331689494,0.36861193473503084,0.027165923584245286
Hurdle-rfree,structural,0.3714400460165435,0.01990201413641023,4091.0052051284633,834.9517969860151,0.11000000000000001,0.11005049346146119,2.8339217165433093,1.3890346345288693,11.713825943935422,0.5343956309200655,0.3214432474769878,0.009779270463451329
Hurdle-rfree,independent,0.5872517935567952,0.016438609539995337,5176.530174999413,812.2032541179134,0.11000000000000001,0.07378647873726218,6.0333966072473215,2.1686499547917806,13.195012808510892,0.7326134375412117,0.5051439360322211,0.024452103931417456
Hurdle-rfree,correlated,0.2896543744804507,0.012232405553658059,4369.243374396197,639.6392340496875,0.07999999999999999,0.09189365834726813,1.5130071467356607,1.1571470482189676,9.170536825877374,0.4835560431703673,0.23260765176542358,0.01022892055315729
Hurdle-rfree,mixed,0.35445733544596403,0.009038584471231018,4358.720603386226,555.8738300172538,0.08,0.07888106377466156,2.3633011725199333,1.8793765605744202,11.821059290544259,0.3818188555850152,0.36368880915354024,0.021600969199536094
BEMMAOR-global-rfree,structural,0.3831014860173385,0.01709086355639255,873.5525843849055,257.1778231818889,0.08,0.08366600265340757,0.9198616396163531,3.3831517514036924,12.427306515276515,0.7551060335798391,0.31053147981340046,0.007415094265367768
BEMMAOR-global-rfree,independent,0.5767246051736183,0.012769200136953098,815.3518005132304,117.14893787587452,0.14,0.05477225575051661,3.8638057832100556,0.7903797124539614,12.870780609554194,0.4835857642558044,0.5028591488270915,0.03139589034287463
BEMMAOR-global-rfree,correlated,0.26031171050991453,0.009086381447590683,833.5185717588404,158.55152404149013,0.08,0.08366600265340757,1.0944900418104275,2.261889975613672,11.269978425310674,1.2301927084610924,0.2143048893919331,0.009398487266446164
BEMMAOR-global-rfree,mixed,0.3214294323907697,0.0039719291256080725,1131.8528034479684,59.70472994425762,0.1,0.07071067811865477,2.350945083969909,1.3715451869373116,12.719433630024287,0.8287367764063505,0.35699974588686834,0.0155965044068374
